id,titulo,empresa,ubicacion,modalidad,salario_min,salario_max,descripcion,requisitos,url,estado,area
vac_001,DevOps Engineer,Truora,"Medellín, Antioquia",remoto,9172033,10593165,Buscamos un profesional apasionado por la tecnología que se sume a nuestro equipo de ingeniería para construir productos escalables y de alto impacto. Truora es una de las organizaciones líderes en su sector en Colombia.,kubernetes; terraform; aws; ci/cd; linux; comunicación efectiva,https://empleos.truora.com.co/oferta/1525,activa,tecnologia
vac_002,Médico Especialista en Pediatría Semi-Senior,Colmédica,"Cali, Valle del Cauca",hibrido,4387209,5077703,Reconocida institución del sector salud busca profesional comprometido con el bienestar del paciente y los más altos estándares de calidad. Colmédica es una de las organizaciones líderes en su sector en Colombia.,pediatría; neonatología; vacunación; trabajo en equipo,https://empleos.colmédica.com.co/oferta/4349,activa,salud
vac_003,UX/UI Designer,Habi Design,"Bogotá, Cundinamarca",hibrido,9093008,10268019,"Estudio de diseño busca creativo con visión integral, capacidad de iterar rápido y obsesión por la calidad para proyectos digitales y físicos. Habi Design es una de las organizaciones líderes en su sector en Colombia.",figma; design thinking; user research; prototyping; comunicación efectiva; trabajo en equipo,https://empleos.habi-design.com.co/oferta/5835,activa,diseno
vac_004,Desarrollador Backend Senior,Mercado Libre,"Manizales, Caldas",remoto,8573853,11092816,Buscamos un profesional apasionado por la tecnología que se sume a nuestro equipo de ingeniería para construir productos escalables y de alto impacto. Mercado Libre es una de las organizaciones líderes en su sector en Colombia.,python; django; postgresql; docker; aws; trabajo en equipo; comunicación efectiva,https://empleos.mercado-libre.com.co/oferta/7209,activa,tecnologia
vac_005,Ingeniero de Producción,Alpina,Remoto - Colombia,hibrido,6158104,8120696,Empresa líder del sector industrial busca ingeniero(a) con sólida formación técnica y capacidad para liderar proyectos de alto impacto. Alpina es una de las organizaciones líderes en su sector en Colombia.,producción; lean; indicadores; pensamiento crítico,https://empleos.alpina.com.co/oferta/5950,activa,ingenierias
vac_006,Housekeeping Supervisor Semi-Senior,LATAM Airlines,"Bogotá, Cundinamarca",hibrido,5647062,7988244,Reconocida cadena hotelera / turística busca profesional con vocación de servicio y excelencia para atender huéspedes nacionales e internacionales. LATAM Airlines es una de las organizaciones líderes en su sector en Colombia.,limpieza profunda; supervisión; checklist; comunicación efectiva; trabajo en equipo,https://empleos.latam-airlines.com.co/oferta/9364,activa,hospitalidad_turismo
vac_007,Enfermero(a) Auxiliar,Fundación Santa Fe,"Bogotá, Cundinamarca",hibrido,2597637,4408559,Reconocida institución del sector salud busca profesional comprometido con el bienestar del paciente y los más altos estándares de calidad. Fundación Santa Fe es una de las organizaciones líderes en su sector en Colombia.,atención al paciente; signos vitales; resolución de problemas; comunicación efectiva,https://empleos.fundación-santa-fe.com.co/oferta/8770,activa,salud
vac_008,Marketing Analyst,Leo Burnett,"Cali, Valle del Cauca",remoto,8155964,10895314,Reconocida agencia / marca busca profesional creativo y data-driven para liderar estrategias de marketing y crecimiento digital. Leo Burnett es una de las organizaciones líderes en su sector en Colombia.,ga4; data studio; excel avanzado; trabajo en equipo; orientación al detalle,https://empleos.leo-burnett.com.co/oferta/2744,activa,marketing
vac_009,Abogado Tributario,Garrigues,Remoto - Colombia,hibrido,4240404,5227234,Prestigiosa firma legal busca abogado(a) con sólido criterio jurídico y capacidad para atender clientes corporativos de alto nivel. Garrigues es una de las organizaciones líderes en su sector en Colombia.,derecho tributario; dian; precios de transferencia; resolución de problemas,https://empleos.garrigues.com.co/oferta/6110,activa,derecho
vac_010,Site Reliability Engineer,Treinta,"Cali, Valle del Cauca",hibrido,10801003,12286113,Buscamos un profesional apasionado por la tecnología que se sume a nuestro equipo de ingeniería para construir productos escalables y de alto impacto. Treinta es una de las organizaciones líderes en su sector en Colombia.,kubernetes; prometheus; go; linux; comunicación efectiva,https://empleos.treinta.com.co/oferta/3414,activa,tecnologia
